Country,FechasF,AD,Years,Months,Days
Afghanistan,1919-08-19,2022-05-03,102,1232,37513
Albania,1912-11-28,2022-05-03,109,1313,39968
Algeria,1962-07-05,2022-05-03,59,717,21852
Angola,1975-11-11,2022-05-03,46,557,16975
Antigua and Barbuda,1981-11-01,2022-05-03,40,486,14793
Argentina,1816-07-09,2022-05-03,205,2469,75173
Armenia,1918-05-28,2022-05-03,103,1247,37961
Armenia,1991-09-21,2022-05-03,30,367,11182
Australia,1788-01-26,2022-05-03,234,2811,85564
Austria,1955-10-26,2022-05-03,66,798,24296
Azerbaijan,1918-05-28,2022-05-03,103,1247,37961
Azerbaijan,1991-10-18,2022-05-03,30,366,11155
"Bahamas, The",1973-07-10,2022-05-03,48,585,17829
Bahrain,1971-12-16,2022-05-03,50,604,18401
Bangladesh,1971-03-26,2022-05-03,51,613,18666
Bangladesh,1971-12-16,2022-05-03,50,604,18401
Barbados,1966-11-30,2022-05-03,55,665,20243
Belarus,1991-07-03,2022-05-03,30,370,11262
Belgium,1831-07-21,2022-05-03,190,2289,69683
Belize,1981-09-21,2022-05-03,40,487,14834
Benin,1960-08-01,2022-05-03,61,741,22555
Bhutan,1907-12-17,2022-05-03,114,1372,41776
Bolivia,1825-08-06,2022-05-03,196,2360,71858
Bosnia and Herzegovina,1992-03-01,2022-05-03,30,362,11020
Botswana,1966-09-30,2022-05-03,55,667,20304
Brazil,1822-09-07,2022-05-03,199,2395,72922
Brunei,1984-02-23,2022-05-03,38,458,13949
Bulgaria,1878-03-03,2022-05-03,144,1730,52656
Bulgaria,1908-09-22,2022-05-03,113,1363,41496
Burkina Faso,1958-12-11,2022-05-03,63,760,23154
Burkina Faso,1960-08-05,2022-05-03,61,740,22551
Burundi,1962-07-01,2022-05-03,59,718,21856
Cambodia,1953-11-09,2022-05-03,68,821,25012
Cameroon,1960-05-20,2022-05-03,61,743,22628
Canada,1867-07-01,2022-05-03,154,1858,56554
Cape Verde,1975-07-05,2022-05-03,46,561,17104
Central African Republic,1958-12-01,2022-05-03,63,761,23164
Central African Republic,1960-08-13,2022-05-03,61,740,22543
Chad,1958-11-28,2022-05-03,63,761,23167
Chad,1960-08-11,2022-05-03,61,740,22545
Chile,1810-09-18,2022-05-03,211,2539,77294
"China, People's Republic of",1949-10-01,2022-05-03,72,871,26512
"China, Republic of",1911-10-10,2022-05-03,110,1326,40383
Colombia,1810-07-20,2022-05-03,211,2541,77354
Comoros,1975-07-06,2022-05-03,46,561,17103
"Congo, Democratic Republic of the",1960-06-30,2022-05-03,61,742,22587
"Congo, Republic of the",1958-11-28,2022-05-03,63,761,23167
"Congo, Republic of the",1960-08-15,2022-05-03,61,740,22541
Costa Rica,1821-09-15,2022-05-03,200,2407,73279
Croatia,1990-05-30,2022-05-03,31,383,11661
Cuba,1868-10-10,2022-05-03,153,1842,56087
Cyprus,1955-04-01,2022-05-03,67,805,24504
Cyprus,1960-10-01,2022-05-03,61,739,22494
Czech Republic,1918-10-28,2022-05-03,103,1242,37808
Czech Republic,1993-01-01,2022-05-03,29,352,10714
Denmark,1849-06-05,2022-05-03,172,2074,63154
Djibouti,1977-06-27,2022-05-03,44,538,16381
Dominica,1978-11-03,2022-05-03,43,522,15887
Dominican Republic,1821-02-27,2022-05-03,201,2414,73479
East Timor,2002-05-20,2022-05-03,19,239,7288
Ecuador,1809-08-10,2022-05-03,212,2552,77698
Ecuador,1822-05-24,2022-05-03,199,2399,73028
Egypt,1952-07-23,2022-05-03,69,837,25486
El Salvador,1821-09-15,2022-05-03,200,2407,73279
Equatorial Guinea,1968-10-12,2022-05-03,53,642,19561
Eritrea,1991-05-24,2022-05-03,30,371,11302
Estonia,1918-02-24,2022-05-03,104,1250,38054
Estonia,1991-08-20,2022-05-03,30,368,11214
Eswatini,1968-09-06,2022-05-03,53,643,19597
Fiji,1970-10-10,2022-05-03,51,618,18833
Finland,1917-12-06,2022-05-03,104,1252,38134
France,1789-07-14,2022-05-03,232,2793,85029
Gabon,1960-08-17,2022-05-03,61,740,22539
"Gambia, The",1965-02-18,2022-05-03,57,686,20893
Georgia,1918-05-26,2022-05-03,103,1247,37963
Georgia,1991-04-09,2022-05-03,31,372,11347
Germany,1990-10-03,2022-05-03,31,379,11535
Ghana,1957-03-06,2022-05-03,65,781,23799
Greece,1821-03-25,2022-05-03,201,2413,73453
