UBIGEO,REGION,PROVINCIA,DISTRITO,NO_NAC,SI_VIV,NO_VIV,TOTAL_POB,TASA_MOV
010101,Amazonas,Chachapoyas, Chachapoyas,2633,22774,7182,32589,0.220381110190555
010102,Amazonas,Asunción, Chachapoyas,22,220,20,262,0.0763358778625954
010103,Amazonas,Balsas, Chachapoyas,111,938,87,1136,0.0765845070422535
010104,Amazonas,Cheto, Chachapoyas,44,533,65,642,0.101246105919003
010105,Amazonas,Chiliquin, Chachapoyas,49,483,53,585,0.0905982905982906
010106,Amazonas,Chuquibamba, Chachapoyas,184,1472,125,1781,0.0701852891633914
010107,Amazonas,Granada, Chachapoyas,31,423,26,480,0.0541666666666667
010108,Amazonas,Huancas, Chachapoyas,31,684,543,1258,0.431637519872814
010109,Amazonas,La Jalca, Chachapoyas,408,3416,154,3978,0.0387129210658622
010110,Amazonas,Leimebamba, Chachapoyas,284,2850,486,3620,0.134254143646409
010111,Amazonas,Levanto, Chachapoyas,72,648,74,794,0.0931989924433249
010112,Amazonas,Magdalena, Chachapoyas,79,645,128,852,0.150234741784038
010113,Amazonas,Mariscal Castilla, Chachapoyas,113,1021,233,1367,0.170446232626189
010114,Amazonas,Molinopampa, Chachapoyas,165,1782,229,2176,0.105238970588235
010115,Amazonas,Montevideo, Chachapoyas,40,403,53,496,0.106854838709677
010116,Amazonas,Olleros, Chachapoyas,29,305,41,375,0.109333333333333
010117,Amazonas,Quinjalca, Chachapoyas,51,713,5,769,0.00650195058517555
010118,Amazonas,San Francisco de Daguas, Chachapoyas,14,214,67,295,0.227118644067797
010119,Amazonas,San Isidro de Maino, Chachapoyas,48,488,44,580,0.0758620689655172
010120,Amazonas,Soloco, Chachapoyas,87,1077,60,1224,0.0490196078431373
010121,Amazonas,Sonche, Chachapoyas,24,206,17,247,0.0688259109311741
010201,Amazonas,Bagua, Bagua,2200,21740,3162,27102,0.11667035643126
010202,Amazonas,Aramango, Bagua,986,8391,388,9765,0.0397337429595494
010203,Amazonas,Copallin, Bagua,336,4079,180,4595,0.0391730141458107
010204,Amazonas,El Parco, Bagua,106,1065,45,1216,0.0370065789473684
