year,carrier,salida,llegada,diff
2013,WN,2022-05-31T02:00:00Z,2022-05-31T02:00:00Z,0
2013,B6,2022-05-31T04:59:00Z,2022-05-31T04:00:00Z,59
2013,B6,2022-05-31T04:59:00Z,2022-05-31T04:00:00Z,59
2013,B6,2022-05-31T03:50:00Z,2022-05-31T03:00:00Z,50
2013,B6,2022-05-31T02:54:00Z,2022-05-31T02:00:00Z,54
2013,EV,2022-05-31T02:59:00Z,2022-05-31T02:00:00Z,59
2013,B6,2022-05-31T03:49:00Z,2022-05-31T03:00:00Z,49
2013,B6,2022-05-31T03:50:00Z,2022-05-31T03:00:00Z,50
2013,US,2022-05-30T10:00:00Z,2022-05-30T10:00:00Z,0
2013,UA,2022-05-30T10:25:00Z,2022-05-30T10:00:00Z,25
2013,UA,2022-05-30T10:30:00Z,2022-05-30T10:00:00Z,30
2013,B6,2022-05-30T10:40:00Z,2022-05-30T10:00:00Z,40
2013,AA,2022-05-30T10:40:00Z,2022-05-30T10:00:00Z,40
2013,B6,2022-05-30T11:00:00Z,2022-05-30T11:00:00Z,0
2013,FL,2022-05-30T11:00:00Z,2022-05-30T11:00:00Z,0
2013,AA,2022-05-30T11:00:00Z,2022-05-30T11:00:00Z,0
2013,AA,2022-05-30T11:00:00Z,2022-05-30T11:00:00Z,0
2013,DL,2022-05-30T11:00:00Z,2022-05-30T11:00:00Z,0
2013,DL,2022-05-30T11:00:00Z,2022-05-30T11:00:00Z,0
2013,B6,2022-05-30T11:00:00Z,2022-05-30T11:00:00Z,0
2013,B6,2022-05-30T11:00:00Z,2022-05-30T11:00:00Z,0
2013,MQ,2022-05-30T11:00:00Z,2022-05-30T11:00:00Z,0
2013,EV,2022-05-30T11:01:00Z,2022-05-30T11:00:00Z,1
2013,UA,2022-05-30T11:01:00Z,2022-05-30T11:00:00Z,1
2013,EV,2022-05-30T11:00:00Z,2022-05-30T11:00:00Z,0
2013,US,2022-05-30T11:00:00Z,2022-05-30T11:00:00Z,0
2013,B6,2022-05-30T11:00:00Z,2022-05-30T11:00:00Z,0
2013,US,2022-05-30T11:00:00Z,2022-05-30T11:00:00Z,0
2013,UA,2022-05-30T11:00:00Z,2022-05-30T11:00:00Z,0
2013,AA,2022-05-30T11:10:00Z,2022-05-30T11:00:00Z,10
2013,WN,2022-05-30T11:00:00Z,2022-05-30T11:00:00Z,0
2013,B6,2022-05-30T11:00:00Z,2022-05-30T11:00:00Z,0
2013,MQ,2022-05-30T11:05:00Z,2022-05-30T11:00:00Z,5
