year,carrier,hour,minute,time_hour,seconds
2013,WN,21,00,2013-01-31T21:00:00Z,:00
2013,B6,23,59,2013-01-31T23:00:00Z,:00
2013,B6,23,59,2013-01-31T23:00:00Z,:00
2013,B6,22,50,2013-01-31T22:00:00Z,:00
2013,B6,21,54,2013-01-31T21:00:00Z,:00
2013,EV,21,59,2013-01-31T21:00:00Z,:00
2013,B6,22,49,2013-01-31T22:00:00Z,:00
2013,B6,22,50,2013-01-31T22:00:00Z,:00
2013,US,05,00,2013-01-31T05:00:00Z,:00
2013,UA,05,25,2013-01-31T05:00:00Z,:00
2013,UA,05,30,2013-01-31T05:00:00Z,:00
2013,B6,05,40,2013-01-31T05:00:00Z,:00
2013,AA,05,40,2013-01-31T05:00:00Z,:00
2013,B6,06,00,2013-01-31T06:00:00Z,:00
2013,FL,06,00,2013-01-31T06:00:00Z,:00
2013,AA,06,00,2013-01-31T06:00:00Z,:00
2013,AA,06,00,2013-01-31T06:00:00Z,:00
2013,DL,06,00,2013-01-31T06:00:00Z,:00
2013,DL,06,00,2013-01-31T06:00:00Z,:00
2013,B6,06,00,2013-01-31T06:00:00Z,:00
2013,B6,06,00,2013-01-31T06:00:00Z,:00
2013,MQ,06,00,2013-01-31T06:00:00Z,:00
2013,EV,06,01,2013-01-31T06:00:00Z,:00
2013,UA,06,01,2013-01-31T06:00:00Z,:00
2013,EV,06,00,2013-01-31T06:00:00Z,:00
2013,US,06,00,2013-01-31T06:00:00Z,:00
2013,B6,06,00,2013-01-31T06:00:00Z,:00
2013,US,06,00,2013-01-31T06:00:00Z,:00
2013,UA,06,00,2013-01-31T06:00:00Z,:00
2013,AA,06,10,2013-01-31T06:00:00Z,:00
2013,WN,06,00,2013-01-31T06:00:00Z,:00
2013,B6,06,00,2013-01-31T06:00:00Z,:00
2013,MQ,06,05,2013-01-31T06:00:00Z,:00
2013,EV,06,07,2013-01-31T06:00:00Z,:00
2013,DL,06,10,2013-01-31T06:00:00Z,:00
2013,UA,06,08,2013-01-31T06:00:00Z,:00
2013,AA,06,10,2013-01-31T06:00:00Z,:00
2013,B6,06,10,2013-01-31T06:00:00Z,:00
2013,MQ,06,15,2013-01-31T06:00:00Z,:00
2013,B6,06,10,2013-01-31T06:00:00Z,:00
2013,WN,06,10,2013-01-31T06:00:00Z,:00
2013,UA,06,08,2013-01-31T06:00:00Z,:00
2013,DL,06,15,2013-01-31T06:00:00Z,:00
2013,9E,06,15,2013-01-31T06:00:00Z,:00
2013,US,06,30,2013-01-31T06:00:00Z,:00
2013,B6,06,25,2013-01-31T06:00:00Z,:00
2013,WN,06,25,2013-01-31T06:00:00Z,:00
2013,MQ,06,30,2013-01-31T06:00:00Z,:00
2013,AA,06,30,2013-01-31T06:00:00Z,:00
2013,B6,06,30,2013-01-31T06:00:00Z,:00
2013,B6,06,30,2013-01-31T06:00:00Z,:00
2013,DL,06,30,2013-01-31T06:00:00Z,:00
2013,EV,06,33,2013-01-31T06:00:00Z,:00
2013,AA,06,35,2013-01-31T06:00:00Z,:00
2013,MQ,06,30,2013-01-31T06:00:00Z,:00
2013,WN,06,30,2013-01-31T06:00:00Z,:00
2013,B6,06,31,2013-01-31T06:00:00Z,:00
2013,B6,06,35,2013-01-31T06:00:00Z,:00
2013,AA,06,30,2013-01-31T06:00:00Z,:00
2013,UA,06,39,2013-01-31T06:00:00Z,:00
2013,EV,06,40,2013-01-31T06:00:00Z,:00
2013,UA,06,35,2013-01-31T06:00:00Z,:00
2013,B6,06,45,2013-01-31T06:00:00Z,:00
2013,UA,06,36,2013-01-31T06:00:00Z,:00
2013,US,06,45,2013-01-31T06:00:00Z,:00
2013,EV,06,45,2013-01-31T06:00:00Z,:00
2013,EV,06,36,2013-01-31T06:00:00Z,:00
2013,UA,06,45,2013-01-31T06:00:00Z,:00
2013,UA,06,35,2013-01-31T06:00:00Z,:00
